example_id                                      | status | run_time        |
----------------------------------------------- | ------ | --------------- |
./spec/features/post_index_page_spec.rb[1:1:1]  | passed | 0.05005 seconds |
./spec/features/post_index_page_spec.rb[1:1:2]  | passed | 0.06236 seconds |
./spec/features/post_index_page_spec.rb[1:1:3]  | passed | 0.0604 seconds  |
./spec/features/post_index_page_spec.rb[1:1:4]  | passed | 0.05591 seconds |
./spec/features/post_index_page_spec.rb[1:1:5]  | passed | 0.05655 seconds |
./spec/features/post_index_page_spec.rb[1:1:6]  | passed | 0.05075 seconds |
./spec/features/post_index_page_spec.rb[1:1:7]  | passed | 0.06292 seconds |
./spec/features/post_index_page_spec.rb[1:1:8]  | passed | 0.05171 seconds |
./spec/features/post_index_page_spec.rb[1:1:9]  | passed | 0.05611 seconds |
./spec/features/post_index_page_spec.rb[1:1:10] | passed | 0.05825 seconds |
./spec/features/post_show_page_spec.rb[1:1:1]   | passed | 0.04776 seconds |
./spec/features/post_show_page_spec.rb[1:1:2]   | passed | 0.04716 seconds |
./spec/features/post_show_page_spec.rb[1:1:3]   | passed | 0.06623 seconds |
./spec/features/post_show_page_spec.rb[1:1:4]   | passed | 0.04755 seconds |
./spec/features/post_show_page_spec.rb[1:1:5]   | passed | 0.04902 seconds |
./spec/features/post_show_page_spec.rb[1:1:6]   | passed | 0.04988 seconds |
./spec/features/post_show_page_spec.rb[1:1:7]   | passed | 0.04657 seconds |
./spec/features/users_index_page_spec.rb[1:1:1] | passed | 0.01264 seconds |
./spec/features/users_index_page_spec.rb[1:1:2] | passed | 0.01167 seconds |
./spec/features/users_index_page_spec.rb[1:1:3] | passed | 0.01341 seconds |
./spec/features/users_index_page_spec.rb[1:1:4] | passed | 0.02596 seconds |
./spec/features/users_show_page_spec.rb[1:1:1]  | passed | 0.04129 seconds |
./spec/features/users_show_page_spec.rb[1:1:2]  | passed | 0.05059 seconds |
./spec/features/users_show_page_spec.rb[1:1:3]  | passed | 0.04325 seconds |
./spec/features/users_show_page_spec.rb[1:1:4]  | passed | 0.04247 seconds |
./spec/features/users_show_page_spec.rb[1:1:5]  | passed | 0.0451 seconds  |
./spec/features/users_show_page_spec.rb[1:1:6]  | passed | 0.04381 seconds |
./spec/features/users_show_page_spec.rb[1:1:7]  | passed | 0.24296 seconds |
./spec/features/users_show_page_spec.rb[1:1:8]  | passed | 0.05283 seconds |
